시도,시군구,총인구,면적,인구밀도,인구증가율,고령,생산가능,유소년,고령인구비율,합계출산율,출생아수,합계출산율_2013
인천,옹진군,20613.0,172.94962,117.8204378412,-1.14,6439.0,12777.0,1161.0,31.23756852471741,0.884,59.0,1.352
인천,중구,152931.0,140.37985,1132.3419774467,3.94,24912.0,114378.0,19668.0,16.289699276144145,0.764,858.0,1.283
전남,강진군,33177.0,500.89766,65.3267177155,-1.37,12505.0,17786.0,2431.0,37.691774422039366,1.468,156.0,1.988
전남,고흥군,61880.0,807.17409,75.7122914051,-1.24,27061.0,30425.0,3627.0,43.73141564318035,1.153,164.0,1.197
전남,곡성군,27060.0,547.29283,49.1601545163,-0.57,10576.0,14795.0,1534.0,39.083518107908354,0.846,63.0,1.528
전남,광양시,152168.0,464.86383,328.410152525,0.33,23650.0,109617.0,19399.0,15.542032490405342,0.996,827.0,1.839
전남,구례군,24655.0,442.96454,54.8892695157,-1.38,9246.0,13453.0,1615.0,37.50152098965727,0.77,51.0,1.702
전남,나주시,116456.0,608.49376,192.8976230457,0.79,28254.0,74656.0,14467.0,24.26152366559044,1.086,722.0,1.599
전남,담양군,45792.0,455.0735,99.7047726147,-0.92,15373.0,26675.0,3325.0,33.571366177498255,1.132,188.0,1.586
전남,목포시,216939.0,51.72983,4139.8934717236,-1.28,42446.0,146271.0,25439.0,19.565868746514,0.762,815.0,1.327
전남,무안군,90608.0,450.93998,200.2395081486,-0.34,19000.0,58755.0,12541.0,20.969450821119548,0.968,472.0,1.419
전남,보성군,38471.0,664.59462,56.7052435687,-2.04,15952.0,19409.0,2325.0,41.46499961009592,1.092,103.0,1.615
전남,순천시,278737.0,911.03848,305.296654764,-0.22,50517.0,193151.0,34469.0,18.123535806154187,0.897,1389.0,1.298
전남,신안군,37858.0,655.85694,57.9958794947,0.47,14914.0,20888.0,2235.0,39.394579745364254,1.164,102.0,1.51
전남,여수시,274765.0,512.33419,530.310111929,-1.12,61135.0,181227.0,29334.0,22.24992266118319,0.853,1121.0,1.414
전남,영광군,52197.0,474.54555,109.0517022252,-0.86,16281.0,30188.0,5281.0,31.19144778435542,1.651,362.0,1.609
전남,영암군,52395.0,612.43049,85.4790877964,-0.09,15298.0,32408.0,4644.0,29.19744250405573,1.009,187.0,2.15
전남,완도군,47597.0,396.86813,117.5226651251,-2.01,16776.0,25751.0,4114.0,35.24591886043238,1.048,145.0,1.71
전남,장성군,43146.0,518.347,82.0743635976,-1.4,14143.0,24945.0,3455.0,32.77940017614611,1.152,172.0,1.687
전남,장흥군,35650.0,622.37563,56.310045566,-1.69,13264.0,19129.0,2653.0,37.20617110799439,1.257,137.0,1.402
전남,진도군,29507.0,440.11082,65.8447801197,-1.79,10679.0,16009.0,2291.0,36.19141220727285,0.908,81.0,1.6
전남,함평군,30784.0,392.09768,78.0443280781,-0.59,12326.0,16400.0,1875.0,40.04028066528066,1.217,100.0,1.786
전남,해남군,65831.0,1045.13264,61.7864159328,-1.91,23293.0,36091.0,5191.0,35.3830262338412,1.356,258.0,2.349
전남,화순군,62024.0,787.17015,77.8154509572,-1.24,18185.0,37988.0,5081.0,29.319295756481363,0.898,213.0,1.279
전북,고창군,52338.0,607.48213,85.1876915964,-1.12,19839.0,28065.0,3846.0,37.90553708586496,0.891,138.0,1.177
전북,군산시,262467.0,398.01893,653.1850188285,-0.95,57042.0,173457.0,29481.0,21.73301786510304,0.796,986.0,1.489
전북,김제시,81455.0,545.98369,149.1436492457,-0.03,27950.0,47102.0,6378.0,34.31342459026456,1.367,409.0,1.357
전북,남원시,77948.0,752.09274,102.0898038807,-1.5,24126.0,45780.0,6875.0,30.95140349976908,0.908,248.0,1.471
전북,무주군,23489.0,632.06289,36.7858964452,-1.01,8554.0,13041.0,1656.0,36.41704627698071,0.726,48.0,1.443
전북,부안군,50094.0,495.00221,99.3672325259,-1.81,18258.0,27384.0,3545.0,36.44747873996886,0.845,127.0,1.203
전북,순창군,26727.0,495.93052,53.9672367059,0.14,9779.0,14973.0,2012.0,36.58846858981554,1.008,80.0,1.212
전북,완주군,92422.0,821.38018,119.1007558448,5.85,24192.0,62972.0,10663.0,26.17558589946117,0.893,408.0,1.612
전북,익산시,273697.0,506.5918,533.0445542411,-1.34,62046.0,181104.0,26886.0,22.669594478565717,0.704,909.0,1.285
전북,임실군,26508.0,597.16664,43.4652547482,-2.08,10357.0,13801.0,1798.0,39.07122378149992,1.285,99.0,1.769
전북,장수군,21336.0,533.18442,39.3541130717,-1.65,8030.0,11399.0,1554.0,37.635920509936255,1.125,65.0,1.695
전북,전주시,651495.0,206.01021,3119.8794253906,-1.35,111617.0,453369.0,77741.0,17.132441538308047,0.691,2680.0,1.205
전북,정읍시,105081.0,693.29582,149.4600099629,-1.39,31905.0,62625.0,9090.0,30.36229194621292,0.875,333.0,1.271
전북,진안군,24550.0,789.13723,31.0022124961,-0.35,9433.0,13384.0,1648.0,38.42362525458248,1.315,92.0,1.874
제주,서귀포시,184770.0,871.50629,210.6674416366,-0.63,40041.0,121449.0,22108.0,21.670725767169998,0.767,706.0,1.339
제주,제주시,493389.0,978.76727,502.3196182855,-0.35,81115.0,344734.0,65805.0,16.440374633402854,0.844,2516.0,1.451
충남,계룡시,44475.0,60.69441,768.8846696754,4.93,6552.0,33374.0,6741.0,14.731871838111298,0.797,184.0,1.364
충남,공주시,102571.0,864.1637,118.1535398643,-0.46,30500.0,63547.0,8057.0,29.73550028760566,0.817,327.0,1.14
충남,금산군,50092.0,577.2131,86.7842391998,0.0,17579.0,28689.0,3825.0,35.09342809231015,0.703,104.0,1.414
충남,논산시,112617.0,556.25493,198.5115004983,-1.95,33458.0,67139.0,9826.0,29.709546516067736,0.868,382.0,1.274
충남,당진시,168253.0,705.6242,241.3494323817,1.22,35271.0,113179.0,21852.0,20.96307346674353,1.025,817.0,1.886
충남,보령시,97157.0,586.86116,163.1936260173,-1.43,28525.0,58722.0,8525.0,29.359696161882315,0.803,290.0,1.242
충남,부여군,62343.0,624.65425,97.7276630996,-2.08,24032.0,32956.0,4058.0,38.54803265803699,0.54,94.0,1.242
충남,서산시,176413.0,742.2787,237.1225267559,-0.23,36822.0,117667.0,21522.0,20.872611428862957,1.017,858.0,1.646
